MCAT 5400
Tuesday, January 08, 2019
12:57 PM
8F
AIRE 
16
9
masscal5400m
miguel
1,Ar36 - 0.5,ZERO1,False,3.54675500E+001,2.03281E+000,2.03357E+000,9,2.90923200E-006
2,Ar36,M36,True,3.59675500E+001,2.04730E+000,2.04793E+000,5,1.39390020E-004
3,Ar36 + 0.3,ZERO2,False,3.62675500E+001,2.05595E+000,2.05671E+000,9,2.83874400E-006
4,Ar37 + 0.5,ZERO3,False,3.74667800E+001,2.08988E+000,2.09064E+000,9,2.79068400E-006
5,Ar38,M38,True,3.79627300E+001,2.10359E+000,2.10420E+000,5,2.82352500E-005
6,Ar38 + 0.5,ZERO4,False,3.84627300E+001,2.11756E+000,2.11832E+000,9,2.79709200E-006
7,Ar39 + 0.5,ZERO5,False,3.94643100E+001,2.14517E+000,2.14594E+000,9,2.78427600E-006
8,Ar40,M40,True,3.99623800E+001,2.15873E+000,2.15949E+000,1,3.44855715E-002
9,Ar40 + 0.5,ZERO6,False,4.04623800E+001,2.17224E+000,2.17301E+000,9,2.82592800E-006
M36,1.36516032E-004
M38,2.54413620E-005
M40,3.44827664E-002
