MCAT 5400
Tuesday, January 08, 2019
2:36 PM
8I
BCO AIRE 
16
9
masscal5400m
miguel
1,Ar36 - 0.5,ZERO1,False,3.54675500E+001,2.03281E+000,2.03350E+000,9,2.84835600E-006
2,Ar36,M36,True,3.59675500E+001,2.04730E+000,2.04787E+000,5,1.39165740E-004
3,Ar36 + 0.3,ZERO2,False,3.62675500E+001,2.05595E+000,2.05664E+000,9,2.74262400E-006
4,Ar37 + 0.5,ZERO3,False,3.74667800E+001,2.08988E+000,2.09057E+000,9,2.74582800E-006
5,Ar38,M38,True,3.79627300E+001,2.10359E+000,2.10425E+000,5,2.82769020E-005
6,Ar38 + 0.5,ZERO4,False,3.84627300E+001,2.11756E+000,2.11825E+000,9,2.67854400E-006
7,Ar39 + 0.5,ZERO5,False,3.94643100E+001,2.14517E+000,2.14587E+000,9,2.76184800E-006
8,Ar40,M40,True,3.99623800E+001,2.15873E+000,2.15942E+000,1,3.43797210E-002
9,Ar40 + 0.5,ZERO6,False,4.04623800E+001,2.17224E+000,2.17293E+000,9,2.56320000E-006
M36,1.36370250E-004
M38,2.55647160E-005
M40,3.43770585E-002
