id_unidad_lic,num_unidad,clave_lic
195,1,95
286,2,86
388,3,88
480,4,80
586,5,86
688,6,88
797,7,97
886,8,86
980,9,80
1087,10,87
1196,11,96
1280,12,80
1387,13,87
1480,14,80
1586,15,86
1696,16,96
1796,17,96
1888,18,88
1987,19,87
2096,20,96
2185,21,85
2286,22,86
2386,23,86
2492,24,92
2599,25,99
2698,26,98
2798,27,98
2890,28,90
2990,29,90
3082,30,82
3181,31,81
3284,32,84
3397,33,97
3483,34,83
3595,35,95
3686,36,86
3781,37,81
3897,38,97
3987,39,87
4087,40,87
4187,41,87
4287,42,87
4386,43,86
4496,44,96
4582,45,82
4687,46,87
4793,47,93
4893,48,93
4991,49,91
5080,50,80
5190,51,90
5295,52,95
5386,53,86
5489,54,89
5596,55,96
5696,56,96
5790,57,90
5893,58,93
5986,59,86
6086,60,86
6186,61,86
6288,62,88
6396,63,96
6494,64,94
6590,65,90
6690,66,90
6787,67,87
6888,68,88
6982,69,82
7095,70,95
7186,71,86
7286,72,86
7398,73,98
7487,74,87
7593,75,93
7687,76,87
7782,77,82
7893,78,93
7986,79,86
8097,80,97
8180,81,80
8280,82,80
8396,83,96
8499,84,99
8582,85,82
8687,86,87
8796,87,96
8887,88,87
1001,100,1
1001,100,1
10157,101,57
10157,101,57
10157,101,57
10157,101,57
10157,101,57
10258,102,58
10258,102,58
10244,102,44
10244,102,44
10258,102,58
10350,103,50
10350,103,50
10356,103,56
10325,103,25
10334,103,34
10325,103,25
10325,103,25
10325,103,25
10356,103,56
10354,103,54
10356,103,56
10334,103,34
10356,103,56
10350,103,50
10350,103,50
10350,103,50
10348,103,48
10348,103,48
10354,103,54
10354,103,54
10356,103,56
10325,103,25
10354,103,54
10350,103,50
10354,103,54
10354,103,54
10354,103,54
10348,103,48
10350,103,50
10354,103,54
10348,103,48
10356,103,56
10350,103,50
10350,103,50
10350,103,50
10356,103,56
10436,104,36
10510,105,10
10510,105,10
10517,105,17
10517,105,17
10519,105,19
1052,105,2
1052,105,2
10513,105,13
10517,105,17
10513,105,13
1052,105,2
10517,105,17
10513,105,13
1052,105,2
10510,105,10
1052,105,2
10517,105,17
10518,105,18
10513,105,13
1052,105,2
10513,105,13
1052,105,2
1052,105,2
10518,105,18
10517,105,17
1052,105,2
10517,105,17
10510,105,10
10513,105,13
1052,105,2
10517,105,17
10517,105,17
10518,105,18
1052,105,2
10513,105,13
10517,105,17
10517,105,17
