clave_uni,universidad,siglas
1,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR,CETYS
2,INSTITUTO TECNOLÓGICO DE TIJUANA,ITT
3,INSTITUTO TECNOLÓGICO DE MEXICALI,ITM
4,INSTITUTO TECNOLÓGICO DE ENSENADA,ITE
6,UNIVERSIDAD XOCHICALCO,CEUX
7,UNIVERSIDAD SÄMANN DE JALISCO,USJ
8,UNIVERSIDAD DE TIJUANA,CUT
10,UNIVERSIDAD POLITÉCNICA DE BAJA CALIFORNIA,UPBC
11,UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,UABC
12,UNIVERSIDAD TECNOLÓGICA DE TIJUANA,UTT
13,TECNOLÓGICO DE BAJA CALIFORNIA,TBC
25,BENEMERITA ESCUELA NORMAL ESTATAL PROFESOR JESUS PRADOLUNA,BENEPJPL
